Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Feira Grande;21321;3421;;;10981;1086;4761;;1072;2702603
Homens;10561;1615;;;5498;536;2377;;535;2702603
Mulheres;10760;1806;;;5483;550;2384;;537;2702603
Girau do Ponciano;36600;11298;;;11848;945;12275;;234;2702900
Homens;18165;5423;;;5984;453;6197;;108;2702900
Mulheres;18435;5875;;;5864;492;6078;;126;2702900
Igaci;25188;6184;;;15115;;3889;;;2703106
Homens;12270;2863;;;7515;;1892;;;2703106
Mulheres;12918;3321;;;7600;;1997;;;2703106
Jaramataia;5558;2913;;;1420;;1225;;;2703700
Homens;2805;1432;;;747;;626;;;2703700
Mulheres;2753;1481;;;673;;599;;;2703700
Junqueiro;23836;7803;;;10421;;5612;;;2704005
Homens;11743;3732;;;5234;;2777;;;2704005
Mulheres;12093;4071;;;5187;;2835;;;2704005
Lagoa da Canoa;18250;9165;;;7083;;2002;;;2704104
Homens;8971;4404;;;3567;;1000;;;2704104
Mulheres;9279;4761;;;3516;;1002;;;2704104
Limoeiro de Anadia;26992;2246;;;15442;;9304;;;2704203
Homens;13424;1066;;;7732;;4626;;;2704203
Mulheres;13568;1180;;;7710;;4678;;;2704203
Olho d'Água Grande;4957;1203;;;2674;;1080;;;2705903
Homens;2463;567;;;1357;;539;;;2705903
Mulheres;2494;636;;;1317;;541;;;2705903
Palmeira dos Índios;70368;51610;;;16953;;1805;;;2706307
Homens;33582;24172;;;8512;;898;;;2706307
Mulheres;36786;27438;;;8441;;907;;;2706307
São Brás;6718;3183;;;1007;396;2132;;;2708204
Homens;3334;1560;;;518;180;1076;;;2708204
Mulheres;3384;1623;;;489;216;1056;;;2708204
São Sebastião;32010;12309;;;14802;;4293;;606;2708808
Homens;15851;5989;;;7417;;2152;;293;2708808
Mulheres;16159;6320;;;7385;;2141;;313;2708808
Tanque d'Arca;6122;2140;;;3103;226;653;;;2709004
Homens;3020;1014;;;1557;119;330;;;2709004
Mulheres;3102;1126;;;1546;107;323;;;2709004
Taquarana;19020;7314;;;10577;;1129;;;2709103
Homens;9237;3449;;;5232;;556;;;2709103
Mulheres;9783;3865;;;5345;;573;;;2709103
Traipu;25702;6014;;2013;9449;;8226;;;2709202
Homens;12951;2884;;993;4876;;4198;;;2709202
Mulheres;12751;3130;;1020;4573;;4028;;;2709202
Maceió  AL;1156364;1117978;420;12883;10934;9265;1429;3455;;13
Homens;546034;526801;223;6183;5821;4526;730;1750;;13
Mulheres;610330;591177;197;6700;5113;4739;699;1705;;13
Barra de Santo Antônio;14230;13242;;;988;;;;;2700508
Homens;7077;6547;;;530;;;;;2700508
Mulheres;7153;6695;;;458;;;;;2700508
Barra de São Miguel;7574;6521;;;656;;397;;;2700607
Homens;3763;3220;;;340;;203;;;2700607
Mulheres;3811;3301;;;316;;194;;;2700607
Coqueiro Seco;5526;4973;;;386;;167;;;2702207
Homens;2756;2467;;;201;;88;;;2702207
Mulheres;2770;2506;;;185;;79;;;2702207
Maceió;932748;932103;26;;619;;;;;2704302
Homens;436492;436126;16;;350;;;;;2704302
Mulheres;496256;495977;10;;269;;;;;2704302
Marechal Deodoro;45977;43369;23;;2585;;;;;2704708
Homens;22709;21345;14;;1350;;;;;2704708
Mulheres;23268;22024;9;;1235;;;;;2704708
Messias;15682;14263;;;630;;;789;;2705200
Homens;7703;6955;;;361;;;387;;2705200
Mulheres;7979;7308;;;269;;;402;;2705200
Paripueira;11347;10049;;;1298;;;;;2706448
Homens;5590;4888;;;702;;;;;2706448
Mulheres;5757;5161;;;596;;;;;2706448
Pilar;33305;31801;;;1244;;;260;;2706901
Homens;16167;15359;;;669;;;139;;2706901
Mulheres;17138;16442;;;575;;;121;;2706901
Rio Largo;68481;46896;371;8680;1437;8805;574;1718;;2707701
Homens;33301;22713;193;4184;747;4299;290;875;;2707701
Mulheres;35180;24183;178;4496;690;4506;284;843;;2707701
Santa Luzia do Norte;6891;6172;;;259;460;;;;2707909
Homens;3370;3005;;;138;227;;;;2707909
Mulheres;3521;3167;;;121;233;;;;2707909
Satuba;14603;8589;;4203;832;;291;688;;2708907
Homens;7106;4176;;1999;433;;149;349;;2708907
Mulheres;7497;4413;;2204;399;;142;339;;2708907
Aracaju  SE;835816;615918;1405;197200;11355;2697;5476;;1765;29
Homens;394382;287197;700;95462;6036;1356;2712;;919;29
Mulheres;441434;328721;705;101738;5319;1341;2764;;846;29
Aracaju;571149;569744;1405;;;;;;;2800308
Homens;265484;264784;700;;;;;;;2800308
Mulheres;305665;304960;705;;;;;;;2800308
Barra dos Coqueiros;24976;20886;;;1517;;2278;;295;2800605
Homens;12212;10131;;;787;;1130;;164;2800605
Mulheres;12764;10755;;;730;;1148;;131;2800605
Nossa Senhora do Socorro;160827;3498;;152325;2912;1822;270;;;2804805
Homens;78287;1704;;74003;1521;919;140;;;2804805
Mulheres;82540;1794;;78322;1391;903;130;;;2804805
São Cristóvão;78864;21790;;44875;6926;875;2928;;1470;2806701
Homens;38399;10578;;21459;3728;437;1442;;755;2806701
Mulheres;40465;11212;;23416;3198;438;1486;;715;2806701
Salvador  BA;3573973;3436366;;69786;60415;1836;5152;418;;4
Homens;1690155;1619735;;35035;31506;917;2745;217;;4
Mulheres;1883818;1816631;;34751;28909;919;2407;201;;4
Camaçari;242970;196348;;35625;9654;;1343;;;2905701
Homens;120704;96792;;18082;5116;;714;;;2905701
Mulheres;122266;99556;;17543;4538;;629;;;2905701
Candeias;83158;74887;;1107;7164;;;;;2906501
Homens;40314;36062;;544;3708;;;;;2906501
Mulheres;42844;38825;;563;3456;;;;;2906501
Dias d'Ávila;66440;62473;;;2654;;1313;;;2910057
Homens;32818;30734;;;1382;;702;;;2910057
Mulheres;33622;31739;;;1272;;611;;;2910057
Itaparica;20725;20725;;;;;;;;2916104
Homens;10166;10166;;;;;;;;2916104
Mulheres;10559;10559;;;;;;;;2916104
